pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
65342,Vincent08199,rhshadrach,CHANGES_REQUESTED,Thanks for the PR!,2026-04-25T15:04:01Z
65342,Vincent08199,rhshadrach,CHANGES_REQUESTED,Also needs a whatsnew note in v3.1.0rst in the `Missing` section.,2026-04-28T23:15:10Z
65342,Vincent08199,Vincent08199,COMMENTED,,2026-04-29T00:51:20Z
65342,Vincent08199,jbrockmendel,COMMENTED,,2026-05-02T00:54:26Z
65342,Vincent08199,Vincent08199,COMMENTED,,2026-05-02T01:36:40Z
65342,Vincent08199,jbrockmendel,APPROVED,,2026-05-02T01:59:16Z
65342,Vincent08199,rhshadrach,APPROVED,lgtm,2026-05-03T13:21:37Z
65341,jbrockmendel,mroeschke,APPROVED,,2026-04-28T19:06:23Z
65340,jbrockmendel,mroeschke,COMMENTED,,2026-04-23T00:19:24Z
65340,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-23T15:40:53Z
65340,jbrockmendel,mroeschke,APPROVED,,2026-04-23T16:52:58Z
65339,jbrockmendel,mroeschke,APPROVED,,2026-04-29T16:10:21Z
65338,jbrockmendel,mroeschke,APPROVED,,2026-04-23T17:19:09Z
65337,jbrockmendel,mroeschke,COMMENTED,,2026-04-29T16:16:09Z
65337,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-06T17:40:20Z
65337,jbrockmendel,mroeschke,APPROVED,,2026-05-06T18:03:36Z
65335,sh4dzilla,jbrockmendel,COMMENTED,,2026-04-25T21:29:48Z
65332,Ashish-ml-eng,copilot-pull-request-reviewer[bot],COMMENTED,"## Pull request overview

Fixes an inconsistency in `DataFrame.groupby(..., as_index=False).apply(...)` where empty inputs previously produced an index with the group key name (e.g. `['A']`), while non-empty inputs produced unnamed index levels (`[None]`).

**Changes:**
- Adjust `DataFrameGroupBy._wrap_applied_output` empty-values handling to set `res_index=None` when `as_index=False`.
- Add a regression test asserting index name parity between empty and non-empty `groupby(..., as_index=False).apply(...)`.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated 1 comment.

| File | Description |
| ---- | ----------- |
| `pandas/core/groupby/generic.py` | Aligns empty-apply index construction with the non-empty `as_index=False` behavior by avoiding `result_index` in the empty path. |
| `pandas/tests/groupby/test_apply.py` | Adds coverage to ensure empty and non-empty results have consistent `index.names` when `as_index=False`. |





---

💡 <a href=""/pandas-dev/pandas/new/main?filename=.github/instructions/*.instructions.md"" class=""Link--inTextBlock"" target=""_blank"" rel=""noopener noreferrer"">Add Copilot custom instructions</a> for smarter, more guided reviews. <a href=""https://docs.github.com/en/copilot/customizing-copilot/adding-repository-custom-instructions-for-github-copilot"" class=""Link--inTextBlock"" target=""_blank"" rel=""noopener noreferrer"">Learn how to get started</a>.",2026-04-22T09:00:46Z
65332,Ashish-ml-eng,rhshadrach,CHANGES_REQUESTED,Thanks for the PR! Will also need a note in the whatsnew for 3.1.,2026-04-23T20:20:15Z
65332,Ashish-ml-eng,Ashish-ml-eng,COMMENTED,,2026-04-24T08:32:35Z
65332,Ashish-ml-eng,rhshadrach,CHANGES_REQUESTED,Looks good! Just some requests on test style.,2026-04-25T13:44:15Z
65332,Ashish-ml-eng,rhshadrach,APPROVED,lgtm,2026-05-05T21:34:05Z
65331,jorisvandenbossche,mroeschke,APPROVED,,2026-04-23T16:55:14Z
65322,jbrockmendel,mroeschke,APPROVED,,2026-04-29T16:20:48Z
65319,jorisvandenbossche,mroeschke,APPROVED,,2026-04-21T16:46:42Z
65318,jorisvandenbossche,jbrockmendel,APPROVED,,2026-04-21T17:55:25Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,Thanks a lot for the PR!,2026-04-21T08:48:00Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,,2026-04-21T21:00:53Z
65316,gautamvarmadatla,gautamvarmadatla,COMMENTED,,2026-04-21T23:23:13Z
65316,gautamvarmadatla,gautamvarmadatla,COMMENTED,,2026-04-21T23:34:42Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,,2026-04-22T16:01:13Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,,2026-04-22T16:12:25Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,,2026-04-22T16:15:07Z
65316,gautamvarmadatla,jbrockmendel,COMMENTED,,2026-04-22T16:47:38Z
65316,gautamvarmadatla,jbrockmendel,APPROVED,LGTM,2026-04-28T02:04:56Z
65316,gautamvarmadatla,jorisvandenbossche,COMMENTED,,2026-04-29T08:28:59Z
65316,gautamvarmadatla,jorisvandenbossche,APPROVED,Thanks again!,2026-04-29T08:29:36Z
65310,dependabot[bot],mroeschke,APPROVED,,2026-04-20T15:39:46Z
65305,tinezivic,jbrockmendel,COMMENTED,,2026-04-20T03:06:24Z
65302,jbrockmendel,mroeschke,APPROVED,,2026-04-21T17:21:42Z
65301,jbrockmendel,mroeschke,COMMENTED,,2026-04-29T16:31:37Z
65301,jbrockmendel,mroeschke,APPROVED,,2026-04-29T16:46:03Z
65300,mroeschke,jorisvandenbossche,COMMENTED,,2026-04-23T15:35:58Z
